label,sender_type,zalo_count,telegram_count,email_count,url_count,bank_acc_count,hotline_count,landline_count,mobile_count,shortcode_count,datetime_count,money_count,code_count,leet_count,separator_count,teencode_count,visual_leet_count,symbol_leet_count,validated_leet_count,weighted_leet_score,whitelist_count,oov_count,oov_density,broken_telex_count,longest_oov_length,gibberish_count,repeated_char_count,run_on_word_count
1,personal_number,0,0,0,0,0,0,0,0,0,1,2,0,0,11,0,0,0,0,0.0,5,0,0.0,0,0,0,0,0
1,shortcode,0,0,0,0,0,0,0,1,1,3,1,0,0,12,0,0,0,0,0.0,9,1,0.005319148936170213,0,6,0,0,0
1,personal_number,0,0,0,1,0,0,0,0,0,1,2,0,21,12,0,0,0,2,0.0,13,3,0.1875,0,7,1,0,1
1,personal_number,0,0,0,1,0,0,0,0,0,0,1,0,8,9,0,0,0,1,0.0,5,2,0.07692307692307693,0,6,0,0,0
1,personal_number,0,0,0,0,0,0,0,1,0,1,0,0,2,11,0,0,0,0,0.0,8,1,0.016666666666666666,0,3,1,0,0
1,personal_number,0,0,0,0,0,0,0,1,0,1,0,0,2,11,0,0,0,0,0.0,6,3,0.047619047619047616,0,4,1,0,1
0,personal_number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
0,personal_number,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
0,personal_number,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
0,personal_number,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
0,personal_number,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
1,brandname,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0.0,6,2,0.05263157894736842,0,6,0,0,0
1,brandname,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,2,0,0.0,0,0,0,0,0
1,personal_number,0,0,0,0,0,0,0,2,0,1,1,0,0,7,0,0,0,0,0.0,6,0,0.0,0,0,0,0,0
0,personal_number,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0
1,personal_number,1,0,0,0,0,0,0,1,0,0,3,0,3,6,0,0,0,0,0.0,9,1,0.015625,0,2,0,0,0
1,personal_number,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,5,0,4,5.0,2,1,0.047619047619047616,1,4,0,0,0
1,personal_number,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,3,0,0.0,0,0,0,0,0
1,brandname,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0
1,brandname,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.0,3,0,0.0,0,0,0,0,0
1,brandname,0,0,0,1,0,0,1,1,0,3,2,0,1,9,0,0,0,1,0.0,9,4,0.0975609756097561,0,8,0,0,4
1,personal_number,0,0,0,1,0,1,0,0,0,0,2,0,12,15,0,0,0,1,0.0,13,2,0.04081632653061224,0,6,1,0,0
1,brandname,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,2,0,0.0,0,0,0,0,0
1,brandname,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,2,0,0.0,0,0,0,0,0
1,brandname,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.0,3,0,0.0,0,0,0,0,0
1,personal_number,0,0,0,1,0,0,0,0,0,2,1,0,2,13,0,0,0,1,0.0,9,1,0.022727272727272728,1,8,0,0,1
1,brandname,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0.0,2,0,0.0,0,0,0,0,0
1,brandname,0,0,0,1,0,0,0,0,0,1,0,0,3,3,0,0,0,1,0.0,3,0,0.0,0,0,0,0,0
1,brandname,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0.0,1,1,0.02857142857142857,0,7,0,0,0
1,personal_number,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,2,0,1,2.0,2,1,0.016129032258064516,0,4,0,0,1
1,brandname,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,3,0,0.0,0,0,0,0,0
